RNumber,KName,Grade,Phone_Num,Homepage,Price
88,스시만,5,02-533-0181,sushiman.modoo.at,92000
89,스시조,5,02-317-0373,www.echosunhotel.com,183000
90,스시효,5,02-545-0023,sushihyo.modoo.at,101000
91,스와니예,4,02-3477-9386,www.soignerestaurantgroup.com,67000
92,스테이,5,02-3213-1231,www.lottehotel.com/signielseoul/ko/,115000
93,스테이크 하우스,5,02-799-8273,seoul.grand.hyatt.com,91000
94,아리랑,5,02-752-1342,www.arirangcook.com,36000
95,안씨 막걸리,5,010-9965-5112,ahnmakgeolli.modoo.at/,29000
96,알라 프리마,4,02-511-2555,allaprima.modoo.at,57000
97,양양 메밀 막국수,4,02-3482-3738,yangyangkuksu.modoo.at/,11000
98,에머이,4,02-733-0588,emoilove.modoo.at,9000
99,역전회관,4,02-703-0019,www.yukjeon.com,26000
100,오가네 족발,4,02-575-6608,oganejokbal.modoo.at,15000
101,오근내 닭갈비,4,02-797-0131,ogeunnae.modoo.at,20000
102,오만지아,5,02-749-2900,,94000
103,오장동 함흥냉면,4,02-2267-9500,ojangmyeonok.modoo.at,10000
104,오통영,4,02-544-2377,ohtongyoung.modoo.at,25000
105,오프레,5,070-5025-3837,,96000
106,옥동식,4,010-9140-9911,,9000
107,온달,5,02-450-4518,www.walkerhill.com,81000
108,옳음,5,02-549-2016,www.olheum.co.kr,60000
109,외고집 설렁탕,5,02-567-5225,oegojip.modoo.at,25000
110,용금옥,4,02-777-4749,yongkeumok.modoo.at,21000
111,용수산,5,02-743-5999,www.yongsusan.co.kr,77000
112,우가,5,02-6272-2223,thewooga.modoo.at,67000
113,우래옥,5,02-2265-0151,,28000
114,우오,5,02-518-4224,www.theuo.co.kr,100000
115,우육미엔,4,02-798-5556,,7000
116,우참판,5,02-537-5940,www.woochampan.com,38000
117,유 유안,4,02-6388-5500,www.fourseasons.com/seoul,153000
118,이나니와 요스케,4,02-772-9994,,29000
119,이도 맨션,5,02-785-0909,,55000
120,이문 설농탕,4,02-733-6526,imun.modoo.at,13000
121,이십사절기,5,02-518-4818,www.24seasons.co.kr,37000
122,이치류,5,02-3144-1312,www.ichiryu.kr/,23000
123,이태리재,5,070-4233-6262,italyjae.modoo.at,40000
124,익스퀴진,4,02-542-6921,,47000
125,일호식,5,02-794-2648,,18000
126,임병주 산동 칼국수,4,02-3473-7972,sandongkalguksu.modoo.at,15000
127,자하 손만두,4,02-379-2648,www.sonmandoo.com,26000
128,정식당,2,02-517-4654,www.jungsik.kr,98000
129,정인면옥,4,02-2683-2615,junginmyeonok.modoo.at,16000
130,제로 컴플렉스,4,02-532-0876,,62000
131,주반,5,02-3210-3737,juban.modoo.at/,15000
132,주옥,4,02-518-9393,thejoook.modoo.at,42000
133,줄라이,5,02-534-9544,www.julyrestaurant.org,54000
134,진미 평양냉면,4,02-515-3469,jinmipy.modoo.at/,15000
135,진미식당,5,02-3211-4468,thejinmi.modoo.at,25000
136,진진,4,070-5035-8878,jinjinseoul.modoo.at,28000
137,찬양집,4,02-743-1384,chanyangjip.modoo.at,4000
138,채근담,5,02-555-9173,www.chaegundaam.com,41000
139,쵸이닷,5,02-518-0318,,60000
140,충무로 쭈꾸미 불고기,4,02-2279-0803,jjubulgogi.modoo.at,21000
141,카덴,5,02-337-6360,,30000
142,코로비아,5,02-795-9660,www.koroviar.com,72000
143,코지마,2,02-2056-1291,kojima.modoo.at,192000
144,콘티넨탈,5,02-2230-3369,www.shillahotels.com,151000
145,크리스탈 제이드,5,02-3789-8088,www.crystaljade.com,64000
146,큰기와집,4,02-722-9024,keunkiwajip.modoo.at,29000
147,태번 38,5,02-522-3738,,62000
148,텅 앤 그루브 조인트,5,02-790-7036,tngj.modoo.at,24000
149,테이블 34,5,02-559-7631,www.grandicparnas.com,122000
150,테이블 포 포,4,02-3478-0717,tablefor4.modoo.at,45000
151,톡톡,5,02-542-3030,www.toctocseoul.com,83000
152,툭툭 누들 타이,4,070-4407-5130,tuktuknoodle.modoo.at,16000
153,트라토리아 몰토,5,02-303-1022,,50000
154,파씨오네,5,02-546-7719,www.ipassionne.com,38000
155,팔레 드 고몽,5,02-546-8877,palaisdegaumont.modoo.at,68000
156,평양면옥,5,02-2267-7784,pyungyangmyunok.modoo.at,36000
157,품,4,02-777-9007,www.poomseoul.com,109000
158,플라워 차일드,5,02-553-2574,www.flowerchildkorea.com,52000
159,피양콩 할마니,4,02-508-0476,piyang.modoo.at,19000
160,필경재,5,02-445-2115,www.philkyungjae.co.kr,127000
161,필동면옥,4,02-2266-2611,,15000
162,하동관,4,02-776-5656,www.hadongkwan.com,21000
163,하모,5,02-515-4266,hamokitchen.modoo.at,32000
164,하코네,5,02-559-7623,www.grandicparnas.com,157000
165,한일관,4,02-732-3735,www.hanilkwan.co.kr,33000
166,할매집,4,02-735-2608,halmaejip.modoo.at,22000
167,할머니의 레시피,5,02-467-5101,grandmarecipe.modoo.at/,19000
168,홍보각,5,02-2270-3141,grand.ambatel.com/seoul,97000
169,홍연,5,02-317-0494,www.echosunhotel.com,184000
170,화해당,5,02-785-4422,hwahaedang.modoo.at,29000
171,황금콩밭,4,02-313-2952,hgkb.modoo.at/,24000
172,황생가 칼국수,4,02-739-6334,hwangsanga.modoo.at,21000
